backend,build_docs_per_s,build_s,client_cpu_usec,client_end_anon_mib,client_end_file_mib,client_peak_anon_mib,client_peak_mib,connect_s,cpu_usec_sum,cpuset,dims,end_anon_mib_sum,engine_version,friend_age_by_city_mean_ms,friend_age_by_city_min_ms,friend_age_by_city_rows,heap,hop1_p50_ms,hop1_p95_ms,hop1_p99_ms,hop2_p50_ms,hop2_p95_ms,hop2_p99_ms,ingest_rows_per_s,ingest_s,insert_mean_ms,insert_n,insert_p50_ms,insert_p95_ms,insert_p99_ms,k,lane,manifest,mem_cap,mem_split,n_docs,n_persons,n_queries,n_rows,olap_agg_by_region_ms,olap_filtered_avg_ms,olap_range_agg_ms,olap_status_histogram_ms,olap_top_customers_ms,olap_total_ms,oltp_ops_per_s,oltp_total_s,peak_anon_mib_sum,peak_mib_sum,point_p50_ms,point_p95_ms,point_p99_ms,qps,query_mean_ms,query_n,query_p50_ms,query_p95_ms,query_p99_ms,rc,read_mean_ms,read_n,read_p50_ms,read_p95_ms,read_p99_ms,recall_at_10,rep,run_id,same_city_edges_mean_ms,same_city_edges_min_ms,same_city_edges_rows,scale,schema_s,server_cpu_usec,server_end_anon_mib,server_end_file_mib,server_peak_anon_mib,server_peak_mib,tier,top_degree_mean_ms,top_degree_min_ms,top_degree_rows,topology,ts_utc,update_mean_ms,update_n,update_p50_ms,update_p95_ms,update_p99_ms,workload,write_p50_ms,write_p95_ms
arcadedb_graph_server,,69.1,3653730,18.4,0.1,19.8,22.6,0.248,97646332,0-11,,5798.2,server:latest,,,,8g,1.149,1.491,1.7,1.435,2.301,2.838,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,2.21,5806.4,6089.4,0.997,1.713,2.07,,,,,,,0,,,,,,,2,l2_arcadedb_graph_server_oltp_r2,,,,small,,93992602,5779.8,169.5,5786.6,6066.7,paper,,,,client_server,2026-07-11T02:02:33.927977+00:00,,,,,,oltp,1.482,1.771
arcadedb_sparse_embedded_nocompact,18407.4,54.33,182940240,6453.3,455.1,6453.3,6939.3,0.484,182940240,0-11,30000,6453.3,26.8.1.dev0,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,,1000000,,500,,,,,,,,,,6453.3,6939.3,,,,114.5,8.737,495,8.442,10.587,11.643,0,,,,,,0.9902,4,l3s_arcadedb_sparse_embedded_nocompact_search_r4,,,,small,,,,,,,paper,,,,embedded,2026-07-11T02:03:47.879905+00:00,,,,,,search,,
postgres,,,4635165,22.7,0.7,22.7,26.5,0.115,16194919,0-11,,27.0,17.10 (Debian 17.10-1.pgdg13+1),,,,8g,,,,,,,448415.1,4.46,,,,,,,l1,20260711T012458Z,16g,0.75,,,,2000000,74.846,44.643,43.856,68.86,97.37,329.575,,,45.4,869.4,,,,,,,,,,0,,,,,,,4,l1_postgres_olap_r4,,,,small,0.018,11559754,4.3,801.4,22.7,842.9,paper,,,,client_server,2026-07-11T02:06:38.222992+00:00,,,,,,olap,,
arcadedb_graph_server,,69.8,3764573,18.4,0.1,19.5,22.3,0.243,98923561,0-11,,5805.5,server:latest,,,,8g,1.159,1.663,2.009,1.447,2.293,3.215,,,,,,,,,l2,20260711T012458Z,16g,0.75,,100000,,,,,,,,,,2.3,5813.9,6206.1,1.092,1.699,2.082,,,,,,,0,,,,,,,1,l2_arcadedb_graph_server_oltp_r1,,,,small,,95158988,5787.1,169.7,5794.4,6183.8,paper,,,,client_server,2026-07-11T02:06:48.965227+00:00,,,,,,oltp,1.517,2.1
arcadedb_graph_embedded,,29.98,46998687,273.4,152.2,6738.3,7465.1,0.533,46998687,0-11,,273.4,26.8.1.dev0,,,,8g,0.45,0.649,0.815,0.782,1.396,2.116,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,1.04,6738.3,7465.1,0.344,0.631,0.771,,,,,,,0,,,,,,,2,l2_arcadedb_graph_embedded_oltp_r2,,,,small,,,,,,,paper,,,,embedded,2026-07-11T02:08:03.981953+00:00,,,,,,oltp,0.716,0.894
ladybug_graph,,2.63,16862919,384.7,38.1,384.7,505.3,0.128,16862919,0-11,,384.7,ladybug:0.18.1,,,,8g,2.241,3.794,4.793,6.544,8.605,10.08,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,5.49,384.7,505.3,0.155,0.201,0.256,,,,,,,0,,,,,,,4,l2_ladybug_graph_oltp_r4,,,,small,,,,,,,paper,,,,embedded,2026-07-11T02:08:36.350810+00:00,,,,,,oltp,9.751,10.311
duckdb,,,25421972,333.0,84.0,810.8,890.3,0.051,25421972,0-11,,333.0,1.5.4,,,,8g,,,,,,,305434.0,6.55,8.7274,961,8.7183,9.6714,9.9991,,l1,20260711T012458Z,16g,,,,,2000000,,,,,,,263.1,,810.8,890.3,,,,,,,,,,0,1.1376,3088,1.0576,1.8471,2.2987,,3,l1_duckdb_oltp_r3,,,,small,0.021,,,,,,paper,,,,embedded,2026-07-11T02:08:45.408403+00:00,7.471,951,8.2236,9.2484,9.86,oltp,,
arcadedb_sparse_embedded,18038.9,55.44,180690060,6256.0,389.3,6256.0,6728.2,0.484,180690060,0-11,30000,6256.0,26.8.1.dev0,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,,1000000,,500,,,,,,,,,,6256.0,6728.2,,,,154.6,6.468,495,6.296,7.848,8.768,0,,,,,,0.9902,5,l3s_arcadedb_sparse_embedded_search_r5,,,,small,,,,,,,paper,,,,embedded,2026-07-11T02:09:12.807529+00:00,,,,,,search,,
arcadedb_server,,,10536694,17.4,0.1,17.5,20.7,0.05,75892694,0-11,,5476.7,server:latest,,,,8g,,,,,,,37879.4,52.8,1.0084,961,1.0065,1.2061,1.3635,,l1,20260711T012458Z,16g,0.75,,,,2000000,,,,,,,1265.9,,5484.4,5877.0,,,,,,,,,,0,0.7107,3088,0.7019,0.8923,1.0107,,1,l1_arcadedb_server_oltp_r1,,,,small,0.196,65356000,5459.4,295.1,5466.9,5856.2,paper,,,,client_server,2026-07-11T02:12:03.135599+00:00,0.8267,951,0.8336,1.0256,1.1254,oltp,,
ladybug_graph,,2.65,6027747,395.6,38.1,395.6,493.7,0.133,6027747,0-11,,395.6,ladybug:0.18.1,67.69,65.73,10,8g,,,,,,,,,,,,,,,l2,20260711T012458Z,16g,,,100000,,,,,,,,,,,395.6,493.7,,,,,,,,,,0,,,,,,,5,l2_ladybug_graph_olap_r5,71.33,69.54,10,small,,,,,,,paper,4.71,4.4,10,embedded,2026-07-11T02:13:02.883464+00:00,,,,,,olap,,
qdrant_sparse,32117.8,31.14,25379442,67.6,0.9,67.6,74.3,0.767,62792022,0-11,30000,685.1,qdrant,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,0.75,1000000,,500,,,,,,,,,,798.9,1529.7,,,,731.2,1.368,495,1.358,1.578,2.368,0,,,,,,1.0,4,l3s_qdrant_sparse_search_r4,,,,small,,37412580,617.5,314.2,731.3,1455.4,paper,,,,client_server,2026-07-11T02:13:07.196136+00:00,,,,,,search,,
milvus_sparse,23808.6,42.0,39173260,70.5,1.0,71.5,78.7,1.936,76783667,0-11,30000,1395.9,milvus,,,,8g,,,,,,,,,,,,,,10,l3s,20260711T012458Z,16g,0.75,1000000,,500,,,,,,,,,,1944.8,2579.4,,,,713.6,1.401,495,1.38,1.642,1.957,0,,,,,,1.0,3,l3s_milvus_sparse_search_r3,,,,small,,37610407,1325.4,703.7,1873.3,2500.6,paper,,,,client_server,2026-07-11T02:13:42.527155+00:00,,,,,,search,,
duckdb,,,25409435,365.5,66.0,772.8,845.1,0.053,25409435,0-11,,365.5,1.5.4,,,,8g,,,,,,,303686.9,6.59,8.7502,961,8.7531,9.7188,10.9971,,l1,20260711T012458Z,16g,,,,,2000000,,,,,,,261.1,,772.8,845.1,,,,,,,,,,0,1.1639,3088,1.0815,1.8795,2.4277,,5,l1_duckdb_oltp_r5,,,,small,0.024,,,,,,paper,,,,embedded,2026-07-11T02:14:29.815872+00:00,7.5169,951,8.2881,9.4073,11.2946,oltp,,
